,Time,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,ID_Coin,Pt-1,Pt+1buyHigh,Pt+5c,Pt+10c,Time_human
505,1659091080000,4.53000000,5.24,4.51000000,5.2,82365.24,408004.83440000,1089,FORTHUSDT,4.53,6.2,7.17,7.72,2022-07-29 10:38:00
506,1659093060000,7.92000000,8.24,7.90000000,8.21,28571.17,232303.56480000,1103,FORTHUSDT,7.93,8.5,9.62,11.63,2022-07-29 11:11:00
507,1659100740000,7.32000000,7.55,7.32000000,7.49,24012.49,179431.99550000,562,FORTHUSDT,7.34,7.57,7.97,8.17,2022-07-29 13:19:00
508,1659107580000,7.36000000,7.55,7.36000000,7.54,17802.1,133146.41560000,461,FORTHUSDT,7.37,7.65,8.44,8.53,2022-07-29 15:13:00
509,1659145080000,7.16000000,7.3,7.15000000,7.27,13234.97,95789.11880000,344,FORTHUSDT,7.16,7.41,7.58,8.0,2022-07-30 01:38:00
510,1659147480000,8.12000000,8.24,8.03000000,8.24,23513.97,191043.90430000,331,FORTHUSDT,8.13,8.4,8.72,9.08,2022-07-30 02:18:00
511,1661256600000,5.59000000,5.74,5.59000000,5.72,11682.43,66163.56650000,205,FORTHUSDT,5.6,5.85,6.04,6.27,2022-08-23 12:10:00
512,1656688140000,0.60600000,0.624,0.60600000,0.622,239867.9,147549.77030000,219,BURGERUSDT,0.604,0.622,0.671,0.672,2022-07-01 15:09:00
513,1656688920000,0.65200000,0.677,0.64300000,0.669,55985.6,36873.66230000,269,BURGERUSDT,0.654,0.675,0.701,0.748,2022-07-01 15:22:00
514,1656743640000,0.83200000,0.852,0.83000000,0.85,122528.1,103584.68830000,208,BURGERUSDT,0.832,0.869,0.902,0.941,2022-07-02 06:34:00
515,1656748680000,0.92900000,0.939,0.92600000,0.939,27865.0,26029.43870000,148,BURGERUSDT,0.928,0.952,0.98,1.01,2022-07-02 07:58:00
516,1656826380000,1.08600000,1.099,1.08600000,1.099,18736.1,20490.84360000,106,BURGERUSDT,1.086,1.12,1.145,1.22,2022-07-03 05:33:00
517,1656828240000,1.08900000,1.106,1.08000000,1.102,55016.7,60140.17460000,193,BURGERUSDT,1.089,1.123,1.172,1.193,2022-07-03 06:04:00
518,1657074840000,0.95900000,0.97,0.95400000,0.97,41809.1,40305.97850000,189,BURGERUSDT,0.959,0.975,1.016,1.059,2022-07-06 02:34:00
519,1657076700000,1.06700000,1.085,1.06700000,1.085,37242.3,40114.99400000,152,BURGERUSDT,1.067,1.084,1.112,1.183,2022-07-06 03:05:00
520,1657104000000,1.62200000,1.683,1.62000000,1.669,292562.4,484182.99590000,1470,BURGERUSDT,1.622,1.697,1.732,1.893,2022-07-06 10:40:00
521,1657105440000,1.76500000,1.795,1.76300000,1.793,82684.1,147688.55220000,592,BURGERUSDT,1.765,1.85,1.933,2.034,2022-07-06 11:04:00
522,1657117620000,1.61800000,1.635,1.60400000,1.631,40824.0,66332.65650000,308,BURGERUSDT,1.614,1.638,1.714,1.762,2022-07-06 14:27:00
523,1657179600000,1.55200000,1.578,1.55200000,1.576,15733.2,24643.61530000,124,BURGERUSDT,1.556,1.574,1.61,1.71,2022-07-07 07:40:00
524,1657181160000,1.88400000,1.932,1.88000000,1.909,220515.8,420425.88870000,1503,BURGERUSDT,1.884,1.983,2.356,2.65,2022-07-07 08:06:00
525,1657195320000,2.31500000,2.35,2.31500000,2.337,75965.2,177241.47690000,601,BURGERUSDT,2.313,2.378,2.48,2.525,2022-07-07 12:02:00
526,1657352520000,1.84600000,1.885,1.84600000,1.882,75241.5,140511.72500000,767,BURGERUSDT,1.846,1.892,2.017,2.13,2022-07-09 07:42:00
527,1657369200000,2.24900000,2.315,2.24600000,2.31,256142.0,587741.11630000,1168,BURGERUSDT,2.246,2.368,2.427,2.548,2022-07-09 12:20:00
528,1657444140000,2.80000000,2.834,2.78800000,2.834,56556.8,158659.27740000,309,BURGERUSDT,2.804,2.849,2.968,3.051,2022-07-10 09:09:00
529,1657632060000,2.65400000,2.69,2.65300000,2.69,76437.4,204706.44810000,509,BURGERUSDT,2.653,2.69,2.776,2.916,2022-07-12 13:21:00
530,1658654160000,1.68900000,1.749,1.68800000,1.736,244431.4,419593.87440000,1425,BURGERUSDT,1.689,1.78,1.864,1.921,2022-07-24 09:16:00
531,1658657160000,1.89700000,1.926,1.89700000,1.926,63670.7,121524.75020000,369,BURGERUSDT,1.899,1.929,2.083,2.113,2022-07-24 10:06:00
532,1659082500000,1.80700000,1.839,1.80500000,1.837,60387.8,109857.02470000,414,BURGERUSDT,1.808,1.852,1.924,1.97,2022-07-29 08:15:00
533,1660982580000,1.25100000,1.275,1.24200000,1.264,68388.5,86266.46640000,337,BURGERUSDT,1.251,1.268,1.329,1.422,2022-08-20 08:03:00
534,1660988280000,1.29900000,1.328,1.29900000,1.322,46698.2,61284.08400000,194,BURGERUSDT,1.297,1.344,1.382,1.45,2022-08-20 09:38:00
535,1661839140000,1.24500000,1.261,1.23300000,1.259,98266.3,122305.79330000,422,BURGERUSDT,1.245,1.27,1.373,1.387,2022-08-30 05:59:00
536,1655707500000,0.00353000,0.00362,0.00353000,0.00359,92760383.0,332204.96880000,582,SLPUSDT,0.00353,0.00366,0.00386,0.0039,2022-06-20 06:45:00
537,1659865200000,0.00477000,0.00485,0.00476000,0.00484,40483032.0,195142.51371000,536,SLPUSDT,0.00477,0.00485,0.00497,0.00523,2022-08-07 09:40:00
538,1659283800000,9.01000000,9.21,9.01000000,9.16,33405.42,303949.82880000,1630,ICPUSDT,9.01,9.19,9.53,9.75,2022-07-31 16:10:00
539,1654851900000,0.61700000,0.631,0.61500000,0.63,34907.4,21701.79800000,130,POLSUSDT,0.618,0.633,0.668,0.794,2022-06-10 09:05:00
540,1654854780000,0.87100000,0.908,0.87100000,0.883,396341.2,352922.23620000,1354,POLSUSDT,0.872,0.89,0.908,0.969,2022-06-10 09:53:00
541,1656503820000,0.52200000,0.548,0.52200000,0.531,196347.7,105503.64530000,655,POLSUSDT,0.523,0.544,0.602,0.59,2022-06-29 11:57:00
542,1661534220000,0.56200000,0.574,0.56000000,0.571,139378.9,78953.76600000,330,POLSUSDT,0.562,0.572,0.584,0.609,2022-08-26 17:17:00
543,1661971920000,0.51200000,0.523,0.51200000,0.52,80019.9,41546.61390000,232,POLSUSDT,0.512,0.525,0.555,0.579,2022-08-31 18:52:00
544,1655288280000,0.07510000,0.0761,0.07510000,0.0759,63802.8,4824.92554000,71,MDXUSDT,0.075,0.0785,0.0847,0.0858,2022-06-15 10:18:00
545,1656341940000,0.08970000,0.092,0.08950000,0.0915,468657.4,42693.07530000,445,MDXUSDT,0.0897,0.0951,0.1115,0.1092,2022-06-27 14:59:00
546,1659031080000,10.58000000,10.74,10.47000000,10.73,13976.58,148761.97390000,541,LPTUSDT,10.59,10.91,11.33,11.88,2022-07-28 17:58:00
547,1659032760000,11.58000000,11.81,11.57000000,11.79,13749.25,160419.33430000,588,LPTUSDT,11.57,11.93,12.39,14.97,2022-07-28 18:26:00
548,1659062940000,12.96000000,13.49,12.95000000,13.36,17077.55,226732.54240000,897,LPTUSDT,12.94,13.36,14.4,14.82,2022-07-29 02:49:00
549,1660310220000,12.21000000,12.56,12.19000000,12.55,15691.33,194744.26890000,854,LPTUSDT,12.21,12.84,13.27,13.85,2022-08-12 13:17:00
